# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011-2026 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
FE70;0020;(ﹰ) ( );(ARABIC FATHATAN ISOLATED FORM) (SPACE)
FE72;0020;(ﹲ) ( );(ARABIC DAMMATAN ISOLATED FORM) (SPACE)
FE74;0020;(ﹴ) ( );(ARABIC KASRATAN ISOLATED FORM) (SPACE)
FE76;0020;(ﹶ) ( );(ARABIC FATHA ISOLATED FORM) (SPACE)
FE78;0020;(ﹸ) ( );(ARABIC DAMMA ISOLATED FORM) (SPACE)
FE7A;0020;(ﹺ) ( );(ARABIC KASRA ISOLATED FORM) (SPACE)
FE7C;0020;(ﹼ) ( );(ARABIC SHADDA ISOLATED FORM) (SPACE)
FE7E;0020;(ﹾ) ( );(ARABIC SUKUN ISOLATED FORM) (SPACE)
FFE3;0020;(￣) ( );(FULLWIDTH MACRON) (SPACE)
01C3;0021;(ǃ) (!);(LATIN LETTER RETROFLEX CLICK) (EXCLAMATION MARK)
203C;0021 0021;(‼) (!!);(DOUBLE EXCLAMATION MARK) (EXCLAMATION MARK  EXCLAMATION MARK)
2049;0021 003F;(⁉) (!?);(EXCLAMATION QUESTION MARK) (EXCLAMATION MARK  QUESTION MARK)
2D51;0021;(ⵑ) (!);(TIFINAGH LETTER TUAREG YANG) (EXCLAMATION MARK)
FE57;0021;(﹗) (!);(SMALL EXCLAMATION MARK) (EXCLAMATION MARK)
FF01;0021;(！) (!);(FULLWIDTH EXCLAMATION MARK) (EXCLAMATION MARK)
02BA;0022;(ʺ) (");(MODIFIER LETTER DOUBLE PRIME) (QUOTATION MARK)
02DD;0022;(˝) (");(DOUBLE ACUTE ACCENT) (QUOTATION MARK)
02EE;0022;(ˮ) (");(MODIFIER LETTER DOUBLE APOSTROPHE) (QUOTATION MARK)
02F6;0022;(˶) (");(MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT) (QUOTATION MARK)
05F2;0022;(ײ) (");(HEBREW LIGATURE YIDDISH DOUBLE YOD) (QUOTATION MARK)
05F4;0022;(״) (");(HEBREW PUNCTUATION GERSHAYIM) (QUOTATION MARK)
201C;0022;(“) (");(LEFT DOUBLE QUOTATION MARK) (QUOTATION MARK)
201D;0022;(”) (");(RIGHT DOUBLE QUOTATION MARK) (QUOTATION MARK)
201F;0022;(‟) (");(DOUBLE HIGH-REVERSED-9 QUOTATION MARK) (QUOTATION MARK)
2033;0022;(″) (");(DOUBLE PRIME) (QUOTATION MARK)
2034;0022;(‴) (");(TRIPLE PRIME) (QUOTATION MARK)
2036;0022;(‶) (");(REVERSED DOUBLE PRIME) (QUOTATION MARK)
2037;0022;(‷) (");(REVERSED TRIPLE PRIME) (QUOTATION MARK)
2057;0022;(⁗) (");(QUADRUPLE PRIME) (QUOTATION MARK)
3003;0022;(〃) (");(DITTO MARK) (QUOTATION MARK)
FF02;0022;(＂) (");(FULLWIDTH QUOTATION MARK) (QUOTATION MARK)
FE5F;0023;(﹟) (#);(SMALL NUMBER SIGN) (NUMBER SIGN)
FF03;0023;(＃) (#);(FULLWIDTH NUMBER SIGN) (NUMBER SIGN)
FE69;0024;(﹩) ($);(SMALL DOLLAR SIGN) (DOLLAR SIGN)
FF04;0024;(＄) ($);(FULLWIDTH DOLLAR SIGN) (DOLLAR SIGN)
0609;0025;(؉) (%);(ARABIC-INDIC PER MILLE SIGN) (PERCENT SIGN)
060A;0025;(؊) (%);(ARABIC-INDIC PER TEN THOUSAND SIGN) (PERCENT SIGN)
066A;0025;(٪) (%);(ARABIC PERCENT SIGN) (PERCENT SIGN)
2030;0025;(‰) (%);(PER MILLE SIGN) (PERCENT SIGN)
2031;0025;(‱) (%);(PER TEN THOUSAND SIGN) (PERCENT SIGN)
2052;0025;(⁒) (%);(COMMERCIAL MINUS SIGN) (PERCENT SIGN)
FE6A;0025;(﹪) (%);(SMALL PERCENT SIGN) (PERCENT SIGN)
FF05;0025;(％) (%);(FULLWIDTH PERCENT SIGN) (PERCENT SIGN)
A778;0026;(ꝸ) (&);(LATIN SMALL LETTER UM) (AMPERSAND)
FE60;0026;(﹠) (&);(SMALL AMPERSAND) (AMPERSAND)
FF06;0026;(＆) (&);(FULLWIDTH AMPERSAND) (AMPERSAND)
02B9;0027;(ʹ) (');(MODIFIER LETTER PRIME) (APOSTROPHE)
02BB;0027;(ʻ) (');(MODIFIER LETTER TURNED COMMA) (APOSTROPHE)
02BC;0027;(ʼ) (');(MODIFIER LETTER APOSTROPHE) (APOSTROPHE)
02BD;0027;(ʽ) (');(MODIFIER LETTER REVERSED COMMA) (APOSTROPHE)
02BE;0027;(ʾ) (');(MODIFIER LETTER RIGHT HALF RING) (APOSTROPHE)
02C8;0027;(ˈ) (');(MODIFIER LETTER VERTICAL LINE) (APOSTROPHE)
02CA;0027;(ˊ) (');(MODIFIER LETTER ACUTE ACCENT) (APOSTROPHE)
02CB;0027;(ˋ) (');(MODIFIER LETTER GRAVE ACCENT) (APOSTROPHE)
02F4;0027;(˴) (');(MODIFIER LETTER MIDDLE GRAVE ACCENT) (APOSTROPHE)
0374;0027;(ʹ) (');(GREEK NUMERAL SIGN) (APOSTROPHE)
0384;0027;(΄) (');(GREEK TONOS) (APOSTROPHE)
055A;0027;(՚) (');(ARMENIAN APOSTROPHE) (APOSTROPHE)
055D;0027;(՝) (');(ARMENIAN COMMA) (APOSTROPHE)
05D9;0027;(י) (');(HEBREW LETTER YOD) (APOSTROPHE)
05F3;0027;(׳) (');(HEBREW PUNCTUATION GERESH) (APOSTROPHE)
07F4;0027;(ߴ) (');(NKO HIGH TONE APOSTROPHE) (APOSTROPHE)
07F5;0027;(ߵ) (');(NKO LOW TONE APOSTROPHE) (APOSTROPHE)
144A;0027;(ᑊ) (');(CANADIAN SYLLABICS WEST-CREE P) (APOSTROPHE)
16CC;0027;(ᛌ) (');(RUNIC LETTER SHORT-TWIG-SOL S) (APOSTROPHE)
1FEF;0027;(`) (');(GREEK VARIA) (APOSTROPHE)
1FFD;0027;(´) (');(GREEK OXIA) (APOSTROPHE)
2018;0027;(‘) (');(LEFT SINGLE QUOTATION MARK) (APOSTROPHE)
2019;0027;(’) (');(RIGHT SINGLE QUOTATION MARK) (APOSTROPHE)
201B;0027;(‛) (');(SINGLE HIGH-REVERSED-9 QUOTATION MARK) (APOSTROPHE)
2032;0027;(′) (');(PRIME) (APOSTROPHE)
2035;0027;(‵) (');(REVERSED PRIME) (APOSTROPHE)
A78C;0027;(ꞌ) (');(LATIN SMALL LETTER SALTILLO) (APOSTROPHE)
FF07;0027;(＇) (');(FULLWIDTH APOSTROPHE) (APOSTROPHE)
FF40;0027;(｀) (');(FULLWIDTH GRAVE ACCENT) (APOSTROPHE)
207D;0028;(⁽) (();(SUPERSCRIPT LEFT PARENTHESIS) (LEFT PARENTHESIS)
208D;0028;(₍) (();(SUBSCRIPT LEFT PARENTHESIS) (LEFT PARENTHESIS)
2474;0028 0031 0029;(⑴) ((1));(PARENTHESIZED DIGIT ONE) (LEFT PARENTHESIS  DIGIT ONE  RIGHT PARENTHESIS)
2475;0028 0032 0029;(⑵) ((2));(PARENTHESIZED DIGIT TWO) (LEFT PARENTHESIS  DIGIT TWO  RIGHT PARENTHESIS)
2476;0028 0033 0029;(⑶) ((3));(PARENTHESIZED DIGIT THREE) (LEFT PARENTHESIS  DIGIT THREE  RIGHT PARENTHESIS)
2477;0028 0034 0029;(⑷) ((4));(PARENTHESIZED DIGIT FOUR) (LEFT PARENTHESIS  DIGIT FOUR  RIGHT PARENTHESIS)
2478;0028 0035 0029;(⑸) ((5));(PARENTHESIZED DIGIT FIVE) (LEFT PARENTHESIS  DIGIT FIVE  RIGHT PARENTHESIS)
2479;0028 0036 0029;(⑹) ((6));(PARENTHESIZED DIGIT SIX) (LEFT PARENTHESIS  DIGIT SIX  RIGHT PARENTHESIS)
247A;0028 0037 0029;(⑺) ((7));(PARENTHESIZED DIGIT SEVEN) (LEFT PARENTHESIS  DIGIT SEVEN  RIGHT PARENTHESIS)
247B;0028 0038 0029;(⑻) ((8));(PARENTHESIZED DIGIT EIGHT) (LEFT PARENTHESIS  DIGIT EIGHT  RIGHT PARENTHESIS)
247C;0028 0039 0029;(⑼) ((9));(PARENTHESIZED DIGIT NINE) (LEFT PARENTHESIS  DIGIT NINE  RIGHT PARENTHESIS)
247D;0028 0031 0030 0029;(⑽) ((10));(PARENTHESIZED NUMBER TEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT ZERO  RIGHT PARENTHESIS)
247E;0028 0031 0031 0029;(⑾) ((11));(PARENTHESIZED NUMBER ELEVEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT ONE  RIGHT PARENTHESIS)
247F;0028 0031 0032 0029;(⑿) ((12));(PARENTHESIZED NUMBER TWELVE) (LEFT PARENTHESIS  DIGIT ONE  DIGIT TWO  RIGHT PARENTHESIS)
2480;0028 0031 0033 0029;(⒀) ((13));(PARENTHESIZED NUMBER THIRTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT THREE  RIGHT PARENTHESIS)
2481;0028 0031 0034 0029;(⒁) ((14));(PARENTHESIZED NUMBER FOURTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT FOUR  RIGHT PARENTHESIS)
2482;0028 0031 0035 0029;(⒂) ((15));(PARENTHESIZED NUMBER FIFTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT FIVE  RIGHT PARENTHESIS)
2483;0028 0031 0036 0029;(⒃) ((16));(PARENTHESIZED NUMBER SIXTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT SIX  RIGHT PARENTHESIS)
2484;0028 0031 0037 0029;(⒄) ((17));(PARENTHESIZED NUMBER SEVENTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT SEVEN  RIGHT PARENTHESIS)
2485;0028 0031 0038 0029;(⒅) ((18));(PARENTHESIZED NUMBER EIGHTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT EIGHT  RIGHT PARENTHESIS)
2486;0028 0031 0039 0029;(⒆) ((19));(PARENTHESIZED NUMBER NINETEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT NINE  RIGHT PARENTHESIS)
2487;0028 0032 0030 0029;(⒇) ((20));(PARENTHESIZED NUMBER TWENTY) (LEFT PARENTHESIS  DIGIT TWO  DIGIT ZERO  RIGHT PARENTHESIS)
249C;0028 0061 0029;(⒜) ((a));(PARENTHESIZED LATIN SMALL LETTER A) (LEFT PARENTHESIS  LATIN SMALL LETTER A  RIGHT PARENTHESIS)
249D;0028 0062 0029;(⒝) ((b));(PARENTHESIZED LATIN SMALL LETTER B) (LEFT PARENTHESIS  LATIN SMALL LETTER B  RIGHT PARENTHESIS)
249E;0028 0063 0029;(⒞) ((c));(PARENTHESIZED LATIN SMALL LETTER C) (LEFT PARENTHESIS  LATIN SMALL LETTER C  RIGHT PARENTHESIS)
249F;0028 0064 0029;(⒟) ((d));(PARENTHESIZED LATIN SMALL LETTER D) (LEFT PARENTHESIS  LATIN SMALL LETTER D  RIGHT PARENTHESIS)
24A0;0028 0065 0029;(⒠) ((e));(PARENTHESIZED LATIN SMALL LETTER E) (LEFT PARENTHESIS  LATIN SMALL LETTER E  RIGHT PARENTHESIS)
24A1;0028 0066 0029;(⒡) ((f));(PARENTHESIZED LATIN SMALL LETTER F) (LEFT PARENTHESIS  LATIN SMALL LETTER F  RIGHT PARENTHESIS)
24A2;0028 0067 0029;(⒢) ((g));(PARENTHESIZED LATIN SMALL LETTER G) (LEFT PARENTHESIS  LATIN SMALL LETTER G  RIGHT PARENTHESIS)
24A3;0028 0068 0029;(⒣) ((h));(PARENTHESIZED LATIN SMALL LETTER H) (LEFT PARENTHESIS  LATIN SMALL LETTER H  RIGHT PARENTHESIS)
24A4;0028 0069 0029;(⒤) ((i));(PARENTHESIZED LATIN SMALL LETTER I) (LEFT PARENTHESIS  LATIN SMALL LETTER I  RIGHT PARENTHESIS)
24A5;0028 006A 0029;(⒥) ((j));(PARENTHESIZED LATIN SMALL LETTER J) (LEFT PARENTHESIS  LATIN SMALL LETTER J  RIGHT PARENTHESIS)
24A6;0028 006B 0029;(⒦) ((k));(PARENTHESIZED LATIN SMALL LETTER K) (LEFT PARENTHESIS  LATIN SMALL LETTER K  RIGHT PARENTHESIS)
24A7;0028 006C 0029;(⒧) ((l));(PARENTHESIZED LATIN SMALL LETTER L) (LEFT PARENTHESIS  LATIN SMALL LETTER L  RIGHT PARENTHESIS)
24A8;0028 006D 0029;(⒨) ((m));(PARENTHESIZED LATIN SMALL LETTER M) (LEFT PARENTHESIS  LATIN SMALL LETTER M  RIGHT PARENTHESIS)
24A9;0028 006E 0029;(⒩) ((n));(PARENTHESIZED LATIN SMALL LETTER N) (LEFT PARENTHESIS  LATIN SMALL LETTER N  RIGHT PARENTHESIS)
24AA;0028 006F 0029;(⒪) ((o));(PARENTHESIZED LATIN SMALL LETTER O) (LEFT PARENTHESIS  LATIN SMALL LETTER O  RIGHT PARENTHESIS)
24AB;0028 0070 0029;(⒫) ((p));(PARENTHESIZED LATIN SMALL LETTER P) (LEFT PARENTHESIS  LATIN SMALL LETTER P  RIGHT PARENTHESIS)
24AC;0028 0071 0029;(⒬) ((q));(PARENTHESIZED LATIN SMALL LETTER Q) (LEFT PARENTHESIS  LATIN SMALL LETTER Q  RIGHT PARENTHESIS)
24AD;0028 0072 0029;(⒭) ((r));(PARENTHESIZED LATIN SMALL LETTER R) (LEFT PARENTHESIS  LATIN SMALL LETTER R  RIGHT PARENTHESIS)
24AE;0028 0073 0029;(⒮) ((s));(PARENTHESIZED LATIN SMALL LETTER S) (LEFT PARENTHESIS  LATIN SMALL LETTER S  RIGHT PARENTHESIS)
24AF;0028 0074 0029;(⒯) ((t));(PARENTHESIZED LATIN SMALL LETTER T) (LEFT PARENTHESIS  LATIN SMALL LETTER T  RIGHT PARENTHESIS)
24B0;0028 0075 0029;(⒰) ((u));(PARENTHESIZED LATIN SMALL LETTER U) (LEFT PARENTHESIS  LATIN SMALL LETTER U  RIGHT PARENTHESIS)
24B1;0028 0076 0029;(⒱) ((v));(PARENTHESIZED LATIN SMALL LETTER V) (LEFT PARENTHESIS  LATIN SMALL LETTER V  RIGHT PARENTHESIS)
24B2;0028 0077 0029;(⒲) ((w));(PARENTHESIZED LATIN SMALL LETTER W) (LEFT PARENTHESIS  LATIN SMALL LETTER W  RIGHT PARENTHESIS)
24B3;0028 0078 0029;(⒳) ((x));(PARENTHESIZED LATIN SMALL LETTER X) (LEFT PARENTHESIS  LATIN SMALL LETTER X  RIGHT PARENTHESIS)
24B4;0028 0079 0029;(⒴) ((y));(PARENTHESIZED LATIN SMALL LETTER Y) (LEFT PARENTHESIS  LATIN SMALL LETTER Y  RIGHT PARENTHESIS)
24B5;0028 007A 0029;(⒵) ((z));(PARENTHESIZED LATIN SMALL LETTER Z) (LEFT PARENTHESIS  LATIN SMALL LETTER Z  RIGHT PARENTHESIS)
2768;0028;(❨) (();(MEDIUM LEFT PARENTHESIS ORNAMENT) (LEFT PARENTHESIS)
2772;0028;(❲) (();(LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT) (LEFT PARENTHESIS)
3014;0028;(〔) (();(LEFT TORTOISE SHELL BRACKET) (LEFT PARENTHESIS)
FD3E;0028;(﴾) (();(ORNATE LEFT PARENTHESIS) (LEFT PARENTHESIS)
FE35;0028;(︵) (();(PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS) (LEFT PARENTHESIS)
FE59;0028;(﹙) (();(SMALL LEFT PARENTHESIS) (LEFT PARENTHESIS)
FF08;0028;(（) (();(FULLWIDTH LEFT PARENTHESIS) (LEFT PARENTHESIS)
1F110;0028 0041 0029;(🄐) ((A));(PARENTHESIZED LATIN CAPITAL LETTER A) (LEFT PARENTHESIS  LATIN CAPITAL LETTER A  RIGHT PARENTHESIS)
1F111;0028 0042 0029;(🄑) ((B));(PARENTHESIZED LATIN CAPITAL LETTER B) (LEFT PARENTHESIS  LATIN CAPITAL LETTER B  RIGHT PARENTHESIS)
1F112;0028 0043 0029;(🄒) ((C));(PARENTHESIZED LATIN CAPITAL LETTER C) (LEFT PARENTHESIS  LATIN CAPITAL LETTER C  RIGHT PARENTHESIS)
1F113;0028 0044 0029;(🄓) ((D));(PARENTHESIZED LATIN CAPITAL LETTER D) (LEFT PARENTHESIS  LATIN CAPITAL LETTER D  RIGHT PARENTHESIS)
1F114;0028 0045 0029;(🄔) ((E));(PARENTHESIZED LATIN CAPITAL LETTER E) (LEFT PARENTHESIS  LATIN CAPITAL LETTER E  RIGHT PARENTHESIS)
1F115;0028 0046 0029;(🄕) ((F));(PARENTHESIZED LATIN CAPITAL LETTER F) (LEFT PARENTHESIS  LATIN CAPITAL LETTER F  RIGHT PARENTHESIS)
1F116;0028 0047 0029;(🄖) ((G));(PARENTHESIZED LATIN CAPITAL LETTER G) (LEFT PARENTHESIS  LATIN CAPITAL LETTER G  RIGHT PARENTHESIS)
1F117;0028 0048 0029;(🄗) ((H));(PARENTHESIZED LATIN CAPITAL LETTER H) (LEFT PARENTHESIS  LATIN CAPITAL LETTER H  RIGHT PARENTHESIS)
1F118;0028 0049 0029;(🄘) ((I));(PARENTHESIZED LATIN CAPITAL LETTER I) (LEFT PARENTHESIS  LATIN CAPITAL LETTER I  RIGHT PARENTHESIS)
1F119;0028 004A 0029;(🄙) ((J));(PARENTHESIZED LATIN CAPITAL LETTER J) (LEFT PARENTHESIS  LATIN CAPITAL LETTER J  RIGHT PARENTHESIS)
1F11A;0028 004B 0029;(🄚) ((K));(PARENTHESIZED LATIN CAPITAL LETTER K) (LEFT PARENTHESIS  LATIN CAPITAL LETTER K  RIGHT PARENTHESIS)
1F11B;0028 004C 0029;(🄛) ((L));(PARENTHESIZED LATIN CAPITAL LETTER L) (LEFT PARENTHESIS  LATIN CAPITAL LETTER L  RIGHT PARENTHESIS)
1F11C;0028 004D 0029;(🄜) ((M));(PARENTHESIZED LATIN CAPITAL LETTER M) (LEFT PARENTHESIS  LATIN CAPITAL LETTER M  RIGHT PARENTHESIS)
1F11D;0028 004E 0029;(🄝) ((N));(PARENTHESIZED LATIN CAPITAL LETTER N) (LEFT PARENTHESIS  LATIN CAPITAL LETTER N  RIGHT PARENTHESIS)
1F11E;0028 004F 0029;(🄞) ((O));(PARENTHESIZED LATIN CAPITAL LETTER O) (LEFT PARENTHESIS  LATIN CAPITAL LETTER O  RIGHT PARENTHESIS)
1F11F;0028 0050 0029;(🄟) ((P));(PARENTHESIZED LATIN CAPITAL LETTER P) (LEFT PARENTHESIS  LATIN CAPITAL LETTER P  RIGHT PARENTHESIS)
1F120;0028 0051 0029;(🄠) ((Q));(PARENTHESIZED LATIN CAPITAL LETTER Q) (LEFT PARENTHESIS  LATIN CAPITAL LETTER Q  RIGHT PARENTHESIS)
1F121;0028 0052 0029;(🄡) ((R));(PARENTHESIZED LATIN CAPITAL LETTER R) (LEFT PARENTHESIS  LATIN CAPITAL LETTER R  RIGHT PARENTHESIS)
1F122;0028 0053 0029;(🄢) ((S));(PARENTHESIZED LATIN CAPITAL LETTER S) (LEFT PARENTHESIS  LATIN CAPITAL LETTER S  RIGHT PARENTHESIS)
1F123;0028 0054 0029;(🄣) ((T));(PARENTHESIZED LATIN CAPITAL LETTER T) (LEFT PARENTHESIS  LATIN CAPITAL LETTER T  RIGHT PARENTHESIS)
1F124;0028 0055 0029;(🄤) ((U));(PARENTHESIZED LATIN CAPITAL LETTER U) (LEFT PARENTHESIS  LATIN CAPITAL LETTER U  RIGHT PARENTHESIS)
1F125;0028 0056 0029;(🄥) ((V));(PARENTHESIZED LATIN CAPITAL LETTER V) (LEFT PARENTHESIS  LATIN CAPITAL LETTER V  RIGHT PARENTHESIS)
1F126;0028 0057 0029;(🄦) ((W));(PARENTHESIZED LATIN CAPITAL LETTER W) (LEFT PARENTHESIS  LATIN CAPITAL LETTER W  RIGHT PARENTHESIS)
1F127;0028 0058 0029;(🄧) ((X));(PARENTHESIZED LATIN CAPITAL LETTER X) (LEFT PARENTHESIS  LATIN CAPITAL LETTER X  RIGHT PARENTHESIS)
1F128;0028 0059 0029;(🄨) ((Y));(PARENTHESIZED LATIN CAPITAL LETTER Y) (LEFT PARENTHESIS  LATIN CAPITAL LETTER Y  RIGHT PARENTHESIS)
1F129;0028 005A 0029;(🄩) ((Z));(PARENTHESIZED LATIN CAPITAL LETTER Z) (LEFT PARENTHESIS  LATIN CAPITAL LETTER Z  RIGHT PARENTHESIS)
0B20;0029;(ଠ) ());(ORIYA LETTER TTHA) (RIGHT PARENTHESIS)
207E;0029;(⁾) ());(SUPERSCRIPT RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
208E;0029;(₎) ());(SUBSCRIPT RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
2769;0029;(❩) ());(MEDIUM RIGHT PARENTHESIS ORNAMENT) (RIGHT PARENTHESIS)
2773;0029;(❳) ());(LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT) (RIGHT PARENTHESIS)
3015;0029;(〕) ());(RIGHT TORTOISE SHELL BRACKET) (RIGHT PARENTHESIS)
FD3F;0029;(﴿) ());(ORNATE RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
FE36;0029;(︶) ());(PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
FE5A;0029;(﹚) ());(SMALL RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
FF09;0029;(）) ());(FULLWIDTH RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
066D;002A;(٭) (*);(ARABIC FIVE POINTED STAR) (ASTERISK)
204E;002A;(⁎) (*);(LOW ASTERISK) (ASTERISK)
2217;002A;(∗) (*);(ASTERISK OPERATOR) (ASTERISK)
2731;002A;(✱) (*);(HEAVY ASTERISK) (ASTERISK)
A60E;002A;(꘎) (*);(VAI FULL STOP) (ASTERISK)
FE61;002A;(﹡) (*);(SMALL ASTERISK) (ASTERISK)
FF0A;002A;(＊) (*);(FULLWIDTH ASTERISK) (ASTERISK)
1031F;002A;(𐌟) (*);(OLD ITALIC LETTER ESS) (ASTERISK)
16ED;002B;(᛭) (+);(RUNIC CROSS PUNCTUATION) (PLUS SIGN)
207A;002B;(⁺) (+);(SUPERSCRIPT PLUS SIGN) (PLUS SIGN)
208A;002B;(₊) (+);(SUBSCRIPT PLUS SIGN) (PLUS SIGN)
2795;002B;(➕) (+);(HEAVY PLUS SIGN) (PLUS SIGN)
2A22;002B;(⨢) (+);(PLUS SIGN WITH SMALL CIRCLE ABOVE) (PLUS SIGN)
2A23;002B;(⨣) (+);(PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE) (PLUS SIGN)
2A24;002B;(⨤) (+);(PLUS SIGN WITH TILDE ABOVE) (PLUS SIGN)
2A25;002B;(⨥) (+);(PLUS SIGN WITH DOT BELOW) (PLUS SIGN)
2A26;002B;(⨦) (+);(PLUS SIGN WITH TILDE BELOW) (PLUS SIGN)
2A27;002B;(⨧) (+);(PLUS SIGN WITH SUBSCRIPT TWO) (PLUS SIGN)
